"MONTH_ID","PROV_ID","USER_ID","SERVICE_TYPE","STDEV_CDR_NUM","VAR_CDR_NUM","STDEV_CALLING_CDR_NUM","VAR_CALLING_CDR_NUM","STDEV_CALL_DURATION","VAR_CALL_DURATION","STDEV_CALLING_DURATION","VAR_CALLING_DURATION","STDEV_MOBILE_TIME","VAR_MOBILE_TIME","STDEV_CALLING_MOBILE_TIME","VAR_CALLING_MOBILE_TIME","CALL_DAYS","CALLING_DAYS","CALLED_DAYS","LAST_CALL_TIME","LAST_CALLING_TIME","CALL_DURA_LAST7","CALL_DURA_FIRST20","CALL_DURA_FIRST7","CALL_DURA_LAST20","CALL_RING","CALLING_RING","CALLED_RING","UNICOM_MOBILE_RING","OTHER_MOBILE_RING","UNICOM_FX_RING","OTHER_FX_RING","VALID_CALL_RING","VALID_UNICOM_MOBILE_RING","VALID_OTHER_MOBILE_RING","VALID_UNICOM_FX_RING","VALID_OTHER_FX_RING","CELLID_NUM","CALLING_CELLID_NUM","CALLED_CELLID_NUM","BUSY_CALL_RING","BUSY_CELLID_NUM","BUSY_CALL_DURA","BUSY_CDR_NUM","BUSY_MOBILE_TIME","EASY_CALL_RING","EASY_CELLID_NUM","EASY_CALL_DURA","EASY_CDR_NUM","EASY_MOBILE_TIME","BUSY_CALLING_RING","BUSY_CALLING_CELLID_NUM","BUSY_CALLING_DURA","BUSY_CALLING_CDR_NUM","BUSY_CALLING_MOBILE_TIME","EASY_CALLING_RING","EASY_CALLING_CELLID_NUM","EASY_CALLING_DURA","EASY_CALLING_CDR_NUM","EASY_CALLING_MOBILE_TIME","CALLING_MOBILE_PHONE_CDR","CALLING_TELE_PHONE_CDR","CALLING_UNICOM_PHONE_CDR","CALLING_FX_CDR","CALLING_MOBILE_PHONE_DURA","CALLING_TELE_PHONE_DURA","CALLING_UNICOM_PHONE_DURA","CALLING_FX_DURA","CALLED_MOBILE_PHONE_CDR","CALLED_TELE_PHONE_CDR","CALLED_UNICOM_PHONE_CDR","CALLED_FX_CDR","CALLED_MOBILE_PHONE_DURA","CALLED_TELE_PHONE_DURA","CALLED_UNICOM_PHONE_DURA","CALLED_FX_DURA","LOCAL_CALLING_MOBILE_CDR","LOCAL_CALLING_TELE_CDR","LOCAL_CALLING_UNICOM_CDR","LOCAL_CALLING_FX_CDR","LOCAL_CALLING_MOBILE_DURA","LOCAL_CALLING_TELE_DURA","LOCAL_CALLING_UNICOM_DURA","LOCAL_CALLING_FX_DURA"
"201508","079","1138594","30AAAAAA","5.552886","0.460266","3.948682","0.598285","1675.809027","0.797502","1567.576735","0.900716","29.038171","0.700532","27.089669","0.835242","31","30","31","20150831231420","20150831231420","9629","55512","7233","59964","38","26","29","8","29","0","0","11","4","7","0","0","28","17","26","33","25","39430","230","778","22","16","25711","144","507","25","17","32413","128","606","14","12","19798","70","367","62","87","47","0","4091","26127","21900","0","89","75","12","0","3464","8836","630","0","57","21","23","0","2003","713","1363","0"
"201508","079","1175611","30AAAAAA","8.361632","0.735514","4.046817","0.809363","748.372287","0.626336","405.915415","0.868036","15.76542","0.615078","8.192287","0.78489","19","16","18","20150823031625","20150823031625","0","22702","9557","13835","25","21","20","4","21","0","0","7","1","6","0","0","70","39","54","21","45","11031","121","246","15","35","11671","95","241","19","31","3333","49","82","10","12","4149","31","85","42","27","11","0","2764","4251","467","0","67","66","3","0","3480","11656","84","0","18","5","10","0","567","123","378","0"
"201508","079","1131349","30AAAAAA","2.380549","0.523383","1.390469","0.677408","649.748918","1.316915","508.532522","1.754516","11.641721","1.080519","8.727222","1.467409","31","19","31","20150831195345","20150830144516","5996","9299","1979","13642","42","18","35","6","32","0","2","3","0","3","0","0","22","10","21","29","15","9410","92","209","26","14","5885","49","125","14","9","4882","29","97","8","5","625","10","16","34","0","4","0","2192","0","3300","0","67","2","7","2","8314","228","395","76","32","0","2","0","1661","0","483","0"
"201508","079","1058670","30AAAAAA","4.771795","0.474121","3.489243","0.515079","496.611444","0.673003","356.532906","0.69997","10.117623","0.574444","7.242061","0.600278","31","31","30","20150831181936","20150831181936","9993","12882","3780","19656","37","33","24","1","31","0","0","12","0","11","0","0","67","51","42","36","60","19696","263","468","11","18","3179","49","78","32","44","13955","179","327","6","16","1835","31","47","149","51","1","0","11340","3874","105","0","89","6","0","0","6596","214","0","0","149","51","1","0","11340","3874","105","0"
"201508","079","1041190","30AAAAAA","5.796503","1.102152","2.685632","0.761597","472.166248","1.344494","308.331503","1.109316","10.971468","1.244662","6.279717","0.977989","27","19","25","20150831131831","20150830113013","1768","7714","2453","7080","36","26","26","3","30","0","4","6","0","6","0","0","27","17","19","27","18","6386","84","153","23","14","3096","58","85","17","9","3577","35","77","17","9","1704","32","45","62","4","1","3","4406","781","94","735","68","2","2","4","3925","173","59","172","61","4","1","3","4281","781","94","735"
"201508","079","1149093","30AAAAAA","16.727292","0.288723","8.065935","0.387665","1326.968793","0.302555","822.027251","0.4917","29.403115","0.288814","17.00664","0.447543","31","31","31","20150831231353","20150831225127","29249","106713","35622","105659","245","143","191","30","193","0","12","35","5","28","0","3","112","64","85","212","68","83326","1168","1964","117","69","52636","628","1192","117","38","29549","407","684","69","40","22277","238","494","403","175","42","26","34323","13998","2115","2066","540","471","85","38","37810","37804","5635","3436","113","41","27","20","5872","2450","1326","1695"
"201508","079","1097661","30AAAAAA","1.740217","0.67839","1.398081","0.640787","215.047416","1.102807","210.467775","1.150097","3.861007","0.822251","3.843832","0.880878","23","11","21","20150831202036","20150831202036","1232","3253","413","4237","13","10","8","0","12","0","1","2","0","2","0","0","26","13","19","10","14","2086","30","52","10","14","2399","29","56","7","4","389","10","13","8","9","1624","14","35","23","1","0","0","1998","15","0","0","34","0","0","1","2463","0","0","9","18","0","0","0","863","0","0","0"
"201508","079","1136494","30AAAAAA","10.955314","0.768208","6.723544","0.859988","1198.49658","0.607034","449.320735","0.809521","23.937695","0.595852","10.582648","0.7839","23","22","23","20150823131626","20150823075720","0","45410","19748","27167","50","36","36","4","40","0","6","13","1","12","0","0","60","44","35","43","46","24387","232","523","25","21","21023","96","401","32","34","8233","122","202","15","16","3978","50","95","134","25","13","1","9256","1937","1018","139","56","83","7","9","6209","19988","1323","5632","117","3","9","0","8350","166","549","0"
"201508","079","1094036","30AAAAAA","15.952518","0.531179","9.470476","0.547733","1662.223082","0.593371","1430.305036","0.791705","33.844998","0.545887","26.404482","0.683255","31","31","30","20150831231632","20150831224407","27220","59621","12896","79167","91","76","56","19","65","0","4","27","6","21","0","0","207","149","143","83","144","61316","621","1336","48","117","25525","310","586","69","103","40059","376","853","41","79","15946","160","345","347","96","91","0","37908","7921","9992","0","265","50","62","4","19741","2928","6268","90","326","89","64","0","36251","6205","3728","0"
"201508","079","1069902","30AAAAAA","12.732254","0.629505","7.49804","0.735567","1233.402302","0.724802","831.558927","0.949828","26.533665","0.691794","17.226592","0.871165","31","31","31","20150831214251","20150831214251","12229","40524","23225","33016","146","111","93","11","122","0","5","23","1","21","0","1","275","167","185","121","189","27360","388","642","69","124","25393","239","547","90","117","13649","202","324","50","72","13491","114","289","217","73","17","7","17430","7898","1292","392","218","65","13","8","18167","5850","755","525","208","68","16","7","16239","7575","1011","392"
"201508","079","200054542","30AAAAAA","4.398231","0.806776","2.836876","0.82875","720.115124","1.033786","628.885162","1.083136","13.436558","0.938138","11.423728","1.000057","31","26","28","20150831165339","20150830220206","2735","18859","4586","17373","31","23","23","8","22","0","1","4","0","4","0","0","60","38","41","31","55","11798","134","264","10","15","9796","35","180","22","35","6852","69","151","7","9","8244","20","146","79","0","10","0","13984","0","1112","0","60","1","18","1","4163","130","2165","40","45","0","4","0","4713","0","491","0"
"201508","079","1133495","30AAAAAA","14.000223","0.556419","8.845888","0.571297","1499.599234","0.641535","1074.101832","0.704627","30.027251","0.578524","20.996754","0.630106","31","31","31","20150831224612","20150831224612","12181","60282","23510","51817","151","102","107","15","126","0","7","31","5","25","0","1","106","77","63","101","77","33521","431","782","102","49","38942","349","827","76","54","22560","280","517","64","35","24695","200","516","270","142","55","8","19725","23397","3365","905","167","82","44","8","14518","6504","3669","581","145","41","20","8","8286","2168","783","905"
"201508","079","1058503","30AAAAAA","7.691638","0.549403","5.892552","0.849887","631.257625","0.60527","474.272394","0.823676","13.385348","0.538891","9.961842","0.758516","31","30","31","20150831211203","20150831211203","9955","22376","7465","26418","98","66","74","20","67","0","6","19","5","13","0","0","112","63","81","82","100","19092","327","488","40","28","13239","107","282","57","60","9094","160","232","25","13","8180","48","162","116","14","66","4","7252","2517","6804","354","131","7","60","4","9677","236","4493","309","85","11","45","3","4442","361","2029","207"
