"MONTH_ID","MANU_ID","MANU_NAME","MANU_ALIAS","MODEL_ID","MODEL_NAME","TAC","MODEL_PARAM_ID","MODEL_PARAM_NAME","SW_VERSION","OS_TYPE","IS_SMART","OS","VERSION","SUPPORTJ2ME","ISMOBILEEMAIL","MMS","ISWAP","ISGPRS","ISDM","ISAGPS","ISSUPL","ISGPS","ISDRM","ISHSDPA","ISHSUPA","MAINSCREENHEIGHT","MAINSCREENWIDTH","WAPBROWSERVERSION","INTERNETBROWSER","ISSUPPORTED","FILETYPES","DIGITALMUSICPLAYER","DIGITALMUSICFORMAT","ISSTREAMINGTV","IS_3G","ITEM_VALUE","LATESTRETAILPRICE","SCREENSIZE","CPUTYPE","LAUNCHDATE","ISWIFI","NET_TYPE","ISHSPA","TYPE_3G","BANDCLASS","IS_NFC","IS_BLUETOOTH","BAND_FREQUENCY","NETWORK_TYPE","UNICOM_4G","UNICOM_3G","UNICOM_2G","U_MIZE","T_MIZE","M_MIZE","ALL_MIZE","MIIT4G","MIIT3G","MIIT2G","NEW_TYPE","CREATE_TIME","UPDATE_TIME","IS_DUAL","IS_PJ","IS_UP","IS_SPECIAL","TAC_SOURCE","IS_SMART_NEW","IS_EDGE","SIM_TYPE","MAX_VIDEO_RESOLUTION","MAIN_CAMERA_PIXEL","AUX_CAMERA_PIXEL"
"201508","150","Motorola","摩托罗拉","27","KRZR K1","35981000","17390","Motorola_K1_DEFAULT","DEFAULT","99","0","Private","-1","1","1","1","1","1","-1","0","-1","0","1","0","0","220","176","2.0","-1","1","video/rtsp","audio/mpg","application/vnd.oma.drm.rights+wbxml","image/jpeg","audio/3gpp","application/vnd.oma.dd+xml","application/vnd.wap.mms-message","application/octet-stream","text/wml","application/vnd.wa","1","MP3","AAC","1","0","100000","1200","-1","-1","200608","-1","0","0","-1","acd","0","1","","","","","","","","","","","","","","","",""
"201508","0","EMULATIONAL","EMULATIONAL","0","EMULATIONAL","77777777","136683","0","DEFAULT","0","0","0","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","110000","-1","-1","-1","-1","-1","1","0","4","abcd","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","161","Nokia","诺基亚","504","1200","35573502","17597","Nokia_1200_DEFAULT","DEFAULT","99","0","S30","-1","0","0","0","0","0","-1","0","-1","0","0","0","0","68","96","0","0","0","-1","0","0","-1","0","100000","380","-1","-1","200707","0","0","0","-1","ad","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","161","Nokia","诺基亚","546","2610","35275101","19127","Nokia_2610_DEFAULT","DEFAULT","99","0","S40","-1","1","0","1","1","1","-1","0","-1","0","1","0","0","128","128","2.0","XHTML","0","image/jpeg","application/vnd.oma.drm.rights+wbxml","text/vnd.wap.si","application/vnd.oma.dd+xml","application/vnd.wap.wmlc","application/java-archive","text/vnd.wap.wml","application/vnd.oma.drm.rights+xml","|1","AMR-NB","MIDI Tones (poly 24)","MP3","1","0","100000","499","1.5","-1","200605","0","0","0","-1","bc","0","0","","","","","","","","","","","","","","","","",""
"201508","0","EMULATIONAL","EMULATIONAL","0","EMULATIONAL","35270920","136683","0","DEFAULT","0","0","0","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","110000","-1","-1","-1","-1","-1","1","0","4","abcd","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","0","EMULATIONAL","EMULATIONAL","0","EMULATIONAL","35620130","136683","0","DEFAULT","0","0","0","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","110000","-1","-1","-1","-1","-1","1","0","4","abcd","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","0","EMULATIONAL","EMULATIONAL","0","EMULATIONAL","86091410","136683","0","DEFAULT","0","0","0","-1","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1","110000","-1","-1","-1","-1","-1","1","0","4","abcd","-1","-1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","185","Samsung","三星","4338","SGH-Z500","35893006","18968","Samsung_SGH-Z500_DEFAULT","DEFAULT","0","0","0","-1","1","1","1","1","1","0","0","0","0","0","0","0","220","176","-1","-1","1","audio/mpg","application/vnd.oma.drm.rights+wbxml","image/jpeg","video/vnd.rn-realvideo","audio/3gpp","application/vnd.oma.dd+xml","text/vnd.wap.connectivity-xml","application/vnd.wap.wmlc","application/vnd.om","1","MP3","1","1","110000","-1","-1","-1","20050330","0","1","0","4","bcde","0","1","","","","","","","","","","","","","","","","","",""
"201508","161","Nokia","诺基亚","541","2310","35974604","16451","Nokia_2310_DEFAULT","DEFAULT","99","0","S40","-1","0","0","0","0","0","-1","0","-1","0","0","0","0","68","96","0","0","0","image/vnd.wap.wbmp","image/gif","image/jpg","0","0","0","1","110000","450","-1","-1","200605","-1","1","0","4","bc","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"201508","150","Motorola","摩托罗拉","73","U6","35825809","18205","Motorola_U6_DEFAULT","DEFAULT","99","0","Private","-1","1","1","1","1","1","-1","0","-1","0","-1","0","0","220","176","2.0","-1","1","MP3","MPEG4","1","MP3","WMA","AAC","AMR","MID","MIDI","MPEG—2","WAV","IMY","1","0","100000","980","-1","-1","200510","-1","0","0","-1","abcd","0","1","","","","","","","","","","","","","","","","",""
