"MONTH_ID","PROV_ID","USER_ID","SERVICE_TYPE","STDEV_CDR_NUM","VAR_CDR_NUM","STDEV_CALLING_CDR_NUM","VAR_CALLING_CDR_NUM","STDEV_CALL_DURATION","VAR_CALL_DURATION","STDEV_CALLING_DURATION","VAR_CALLING_DURATION","STDEV_MOBILE_TIME","VAR_MOBILE_TIME","STDEV_CALLING_MOBILE_TIME","VAR_CALLING_MOBILE_TIME","CALL_DAYS","CALLING_DAYS","CALLED_DAYS","LAST_CALL_TIME","LAST_CALLING_TIME","CALL_DURA_LAST7","CALL_DURA_FIRST20","CALL_DURA_FIRST7","CALL_DURA_LAST20","CALL_RING","CALLING_RING","CALLED_RING","UNICOM_MOBILE_RING","OTHER_MOBILE_RING","UNICOM_FX_RING","OTHER_FX_RING","VALID_CALL_RING","VALID_UNICOM_MOBILE_RING","VALID_OTHER_MOBILE_RING","VALID_UNICOM_FX_RING","VALID_OTHER_FX_RING","CELLID_NUM","CALLING_CELLID_NUM","CALLED_CELLID_NUM","BUSY_CALL_RING","BUSY_CELLID_NUM","BUSY_CALL_DURA","BUSY_CDR_NUM","BUSY_MOBILE_TIME","EASY_CALL_RING","EASY_CELLID_NUM","EASY_CALL_DURA","EASY_CDR_NUM","EASY_MOBILE_TIME","BUSY_CALLING_RING","BUSY_CALLING_CELLID_NUM","BUSY_CALLING_DURA","BUSY_CALLING_CDR_NUM","BUSY_CALLING_MOBILE_TIME","EASY_CALLING_RING","EASY_CALLING_CELLID_NUM","EASY_CALLING_DURA","EASY_CALLING_CDR_NUM","EASY_CALLING_MOBILE_TIME","CALLING_MOBILE_PHONE_CDR","CALLING_TELE_PHONE_CDR","CALLING_UNICOM_PHONE_CDR","CALLING_FX_CDR","CALLING_MOBILE_PHONE_DURA","CALLING_TELE_PHONE_DURA","CALLING_UNICOM_PHONE_DURA","CALLING_FX_DURA","CALLED_MOBILE_PHONE_CDR","CALLED_TELE_PHONE_CDR","CALLED_UNICOM_PHONE_CDR","CALLED_FX_CDR","CALLED_MOBILE_PHONE_DURA","CALLED_TELE_PHONE_DURA","CALLED_UNICOM_PHONE_DURA","CALLED_FX_DURA","LOCAL_CALLING_MOBILE_CDR","LOCAL_CALLING_TELE_CDR","LOCAL_CALLING_UNICOM_CDR","LOCAL_CALLING_FX_CDR","LOCAL_CALLING_MOBILE_DURA","LOCAL_CALLING_TELE_DURA","LOCAL_CALLING_UNICOM_DURA","LOCAL_CALLING_FX_DURA","OTHER_KEFU_CDR"
"201508","079","7915032432098261","40AAAAAA","0","0","0","0","31.874755","0.549565","0","0","0.471405","0.353553","0","0","3","0","3","20150816203955","0","174","0","60","114","3","0","3","0","1","0","2","0","0","0","0","0","1","0","1","1","1","60","1","1","2","1","114","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","96","0","0","78","0","0","0","0","0","0","0","0","0"
"201508","079","7915032432099522","40AAAAAA","15.449896","0.318873","9.714338","0.344165","1561.544745","0.375328","973.518313","0.405017","32.6348","0.340862","20.422234","0.367008","31","31","31","20150831221026","20150831221026","128975","0","20544","109743","93","74","69","12","80","0","8","33","5","28","0","2","1","1","1","74","1","74783","916","1745","64","1","54192","586","1223","62","1","0","545","1055","49","1","74513","330","670","593","131","151","22","57167","5830","11516","1277","411","112","103","11","40471","6616","7345","844","428","114","132","18","43236","4931","7927","1042","0"
"201508","079","7915032432103751","40AAAAAA","4.312197","0.677631","3.440161","0.593131","1162.802883","0.909861","1122.318402","0.852826","20.002066","0.830274","19.188495","0.783204","11","10","7","20150813201354","20150813201354","14058","0","13200","2293","26","23","9","8","17","0","4","5","1","3","0","0","1","1","1","22","1","9018","52","174","13","1","5040","18","91","20","1","0","45","161","10","1","13160","13","84","28","9","14","8","9192","1093","1635","1075","4","2","6","1","483","56","359","20","9","0","5","0","380","0","499","0","0"
"201508","079","7915032932339331","40AAAAAA","10.548042","0.674205","5.8952","0.684461","1229.715878","0.575605","807.963942","0.686141","23.784937","0.543355","14.355382","0.590992","31","31","30","20150831224947","20150831224947","66228","0","15220","52254","49","37","39","17","31","0","3","12","4","8","0","2","1","1","1","36","1","18519","227","430","40","1","47709","258","927","26","1","0","123","251","28","1","36504","144","502","162","37","68","30","25622","6678","4204","6409","145","7","65","3","23342","461","5911","233","92","7","54","7","7085","461","2528","461","0"
"201508","079","7915033032384304","40AAAAAA","4.584512","1.010147","2.353394","0.724121","326.002922","1.206044","206.429294","1.014395","7.236495","1.081315","4.289798","0.872501","13","12","7","20150828201532","20150828201532","3514","0","311","3203","16","15","6","0","16","0","6","2","0","2","0","0","1","1","1","15","1","2521","46","66","6","1","993","13","21","14","1","0","31","45","5","1","2442","8","14","12","27","0","6","705","1737","0","329","4","16","0","1","215","857","0","143","12","23","0","6","705","1519","0","329","0"
"201508","079","7915033032394457","40AAAAAA","2.075854","0.739345","1.268648","0.589015","564.477294","1.113367","332.576425","0.79637","9.724382","0.98379","6.044705","0.755588","26","13","24","20150831214800","20150830212351","13182","0","4539","8881","21","15","16","4","16","0","4","2","0","2","0","1","1","1","1","10","1","1070","17","28","17","1","12112","56","229","4","1","0","5","10","14","1","5429","23","94","13","11","3","10","3971","1318","132","1185","28","13","4","7","4831","2786","136","289","3","0","3","1","220","0","132","8","0"
"201508","079","7915033032406907","40AAAAAA","5.514526","0.471327","3.623381","0.549614","1919.897471","0.805991","1888.427338","0.856085","33.295645","0.723818","32.104084","0.798903","30","27","30","20150831230646","20150831230646","71461","0","10171","64400","43","30","31","7","35","0","5","10","1","9","0","2","1","1","1","37","1","19515","198","427","27","1","51946","153","953","25","1","0","85","262","20","1","59559","93","823","80","83","13","56","21873","36588","1008","34640","87","62","24","15","5385","4700","1817","1424","79","76","8","51","21862","27827","663","26084","2"
"201508","079","7915033132462633","40AAAAAA","8.951482","0.559468","5.281464","0.616993","846.289137","0.692947","672.874567","0.844641","17.326995","0.598148","12.938339","0.733466","31","25","31","20150831154644","20150830193713","37860","0","9928","31873","63","38","47","12","47","0","6","10","2","8","0","0","1","1","1","39","1","17896","265","439","43","1","19964","231","459","25","1","0","111","204","23","1","19916","103","237","157","3","54","0","17075","292","2549","0","193","11","70","10","13751","821","3121","314","144","2","53","0","13752","84","2537","0","0"
"201508","079","7915040132524025","40AAAAAA","3.713427","0.859305","2.840128","0.63658","666.589366","1.014265","576.91398","0.645096","12.791898","0.962831","10.981606","0.628903","28","13","28","20150831182925","20150817180939","18402","0","7181","12542","27","14","22","5","21","0","5","3","0","3","0","1","1","1","1","21","1","11104","67","221","14","1","7298","54","151","11","1","0","34","131","7","1","11626","24","96","2","51","3","28","128","10441","534","2368","6","50","5","9","595","4978","352","1316","2","51","3","28","128","10441","534","2368","0"
"201508","079","7915033132487035","40AAAAAA","6.660958","0.422269","3.824724","0.538693","1337.000246","0.730447","841.992507","0.958407","24.190623","0.625446","15.195911","0.830378","31","30","30","20150831222059","20150831202633","56742","0","9853","48549","57","42","44","10","47","0","4","16","3","13","0","2","1","1","1","47","1","22405","191","468","39","1","34337","298","731","30","1","0","82","221","27","1","26356","131","328","114","50","49","13","14160","8289","3907","2211","119","83","74","7","10343","13045","6998","447","69","36","45","9","3999","6379","3631","953","0"
