"TAC","MODEL_ID","MANU_ID","MODEL_NAME","MANU_NAME"
"35216705","M133473","C10385","GT-N7000","三星                                       "
"35826805","M130605","C10385","GALAXYGRANDGT-I9082","三星                            "
"86705502","M109368","C10197","BEST SONNY LT416","华森                               "
"35746602","M124693","C10723","DX310","大显                                          "
"86550202","M137290","C10150","HUAWEIY330-C00","华为                                 "
"35573501","M129957","C99001","G2998","NOTKNOWN                                      "
"86431501","M159006","C10787","S9210","知己迅联                                      "
"35580703","M157196","C99001","RESTARM10","NOTKNOWN                                  "
"86173203","M181898","C10150","HUAWEI TAG-AL00","华为                                "
"86984600","M164426","C10242","SUNUPLI777","三普                                     "
"35912004","M136812","C10336","HTCA310E","宏达                                       "
"86812300","M165908","C10586","T9989","天时达                                        "
"86018601","M162919","C10098","SOXNSD-538","索信                                     "
"86010000","M176365","C10199","ZTE-TA380","中兴                                      "
"35423602","M128832","C10621","FN3210","埃立特                                       "
"86258900","M128598","C10526","FDTC801","锋达通                                      "
"35440205","M102533","C10385","GT-I9260","三星                                       "
"35428605","M102534","C10385","GT-I9268","三星                                       "
"35751305","M102546","C10385","GT-N7100","三星                                       "
"35376905","M102546","C10385","GT-N7100","三星                                       "
"35386705","M102547","C10385","GT-N7102","三星                                       "
"35698105","M102558","C10385","GT-S5831I","三星                                      "
"86818801","M108127","C10199","ZTE U879","中兴                                       "
"01362500","M100136","C10135","A1429","苹果                                          "
"99000284","M100136","C10135","A1429","苹果                                          "
"01347800","M100136","C10135","A1429","苹果                                          "
"01347100","M100136","C10135","A1429","苹果                                          "
"01346800","M100136","C10135","A1429","苹果                                          "
"35884305","M100144","C10135","A1530","苹果                                          "
"86559402","M103866","C10741","K-TOUCH TOU CH3","天语                                "
"35925206","M100148","C10135","A1586","苹果                                          "
"35681406","M103176","C10336","HTC D820T","宏达                                      "
"86740402","M108868","C10129","VIVO X5MAX+","维沃                                    "
"35188205","M103207","C10336","HTC T320E","宏达                                      "
"86665702","M103237","C10150","HUAWEI ALE-UL00","华为                                "
"86259402","M103279","C10150","HUAWEI G610-T11","华为                                "
"86552802","M103304","C10150","HUAWEI G750-T01","华为                                "
"86489202","M105402","C10235","OPPO R7007","欧珀                                     "
"86592002","M105413","C10235","OPPO R8107","欧珀                                     "
"86707001","M105420","C10235","OPPO R817","欧珀                                      "
"86729500","M105465","C10627","OPSSON IVO 6655","博力信                              "
"86812801","M101341","C10333","COOLPAD 8190","酷派                                   "
"86234302","M101344","C10333","COOLPAD 8198T","酷派                                  "
"86659802","M101366","C10333","COOLPAD 8690-T00","酷派                               "
"86451802","M101368","C10333","COOLPAD 8702","酷派                                   "
"86513602","M101379","C10333","COOLPAD 8720L","酷派                                  "
"86317002","M101383","C10333","COOLPAD 8730L","酷派                                  "
"86070302","M101398","C10333","COOLPAD 9150W","酷派                                  "
"86102200","M103327","C10150","HUAWEI P6-T00","华为                                  "
"86829901","M103346","C10150","HUAWEI T8833","华为                                   "
"35988206","M106159","C10385","SM-A7000","三星                                       "
"86113102","M105027","C10438","MZT003","明智通                                       "
"86261701","M107375","C10465","VAJITA 5S","万金塔                                    "
"35876505","M100139","C10135","A1518","苹果                                          "
"35835406","M100140","C10135","A1524","苹果                                          "
"35443906","M100140","C10135","A1524","苹果                                          "
"35438206","M100140","C10135","A1524","苹果                                          "
"35877805","M100142","C10135","A1528","苹果                                          "
"35876705","M100142","C10135","A1528","苹果                                          "
"35869905","M100142","C10135","A1528","苹果                                          "
