"TAC","MODEL_ID","MANU_ID","MODEL_NAME","MANU_NAME"
"86594801","M119193","C10543","C3010","奥利信                                        "
"86594801","M119193","C10543","C3010","奥利信                                        "
"86594801","M119193","C10543","C3010","奥利信                                        "
"86594801","M119193","C10543","C3010","奥利信                                        "
"86594801","M119193","C10543","C3010","奥利信                                        "
"01326600","M109613","C10135","IPHONE4(A1332)","苹果                                 "
"35678902","M110692","C10529","3110C","诺基亚                                        "
"35678902","M110692","C10529","3110C","诺基亚                                        "
"35678902","M110692","C10529","3110C","诺基亚                                        "
"86751002","M109373","C10471","COMIO S1","卡美欧                                     "
"86751002","M109373","C10471","COMIO S1","卡美欧                                     "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35908305","M133421","C10385","GT-I9235","三星                                       "
"35746602","M124693","C10723","DX310","大显                                          "
"86159500","M133952","C10630","GT510","华禹                                          "
"86159500","M133952","C10630","GT510","华禹                                          "
"86159500","M133952","C10630","GT510","华禹                                          "
"35573501","M129957","C99001","G2998","NOTKNOWN                                      "
"35573501","M129957","C99001","G2998","NOTKNOWN                                      "
"35573501","M129957","C99001","G2998","NOTKNOWN                                      "
"35573501","M129957","C99001","G2998","NOTKNOWN                                      "
"35573501","M129957","C99001","G2998","NOTKNOWN                                      "
"35573501","M129957","C99001","G2998","NOTKNOWN                                      "
"86713702","M109447","C10231","LENOVO A5500","联想                                   "
"86724702","M109461","C10038","M575U","魅族                                          "
